2023-01-26 15:04:53 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2023-01-26 15:27:25 INFO  TimeLogger - Normalized time per run (n^2 log n):  22.31
2023-01-26 15:27:27 INFO  TimeLogger - Raw time per run (mSec):  50.00
2023-01-26 15:27:27 INFO  TimeLogger - Normalized time per run (n^3):  .40
2023-01-26 15:27:27 INFO  TimeLogger - Raw time per run (mSec):  20.00
2023-01-26 15:27:27 INFO  TimeLogger - Normalized time per run (n^2):  20.00
2023-01-26 15:27:27 INFO  TimeLogger - Raw time per run (mSec):  20.00
2023-01-26 15:27:27 INFO  TimeLogger - Normalized time per run (n^2 log n):  2.01
2023-01-26 15:27:30 INFO  TimeLogger - Raw time per run (mSec):  20.00
2023-01-26 15:27:30 INFO  TimeLogger - Normalized time per run (n^3):  .02
2023-01-26 15:27:30 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:27:30 INFO  TimeLogger - Normalized time per run (n^2):  2.50
2023-01-26 15:27:31 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:27:31 INFO  TimeLogger - Normalized time per run (n^2 log n):  .23
2023-01-26 15:27:44 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:27:44 INFO  TimeLogger - Normalized time per run (n^3):  .00
2023-01-26 15:27:45 INFO  TimeLogger - Raw time per run (mSec):  5.00
2023-01-26 15:27:45 INFO  TimeLogger - Normalized time per run (n^2):  .31
2023-01-26 15:27:46 INFO  TimeLogger - Raw time per run (mSec):  5.00
2023-01-26 15:27:46 INFO  TimeLogger - Normalized time per run (n^2 log n):  .03
2023-01-26 15:27:47 INFO  TimeLogger - Raw time per run (mSec):  3.00
2023-01-26 15:27:47 INFO  TimeLogger - Normalized time per run (n^2):  .05
2023-01-26 15:27:52 INFO  TimeLogger - Raw time per run (mSec):  3.00
2023-01-26 15:27:52 INFO  TimeLogger - Normalized time per run (n^2 log n):  .00
2023-01-26 15:28:04 INFO  TimeLogger - Raw time per run (mSec):  .29
2023-01-26 15:28:04 INFO  TimeLogger - Normalized time per run (n^2):  4.65
2023-01-26 15:28:04 INFO  TimeLogger - Raw time per run (mSec):  .59
2023-01-26 15:28:04 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.18
2023-01-26 15:28:04 INFO  TimeLogger - Raw time per run (mSec):  2.82
2023-01-26 15:28:04 INFO  TimeLogger - Normalized time per run (n^3):  .18
2023-01-26 15:28:46 INFO  TimeLogger - Raw time per run (mSec):  .50
2023-01-26 15:28:46 INFO  TimeLogger - Normalized time per run (n^2):  7.94
2023-01-26 15:28:46 INFO  TimeLogger - Raw time per run (mSec):  .61
2023-01-26 15:28:46 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.23
2023-01-26 15:28:46 INFO  TimeLogger - Raw time per run (mSec):  2.87
2023-01-26 15:28:46 INFO  TimeLogger - Normalized time per run (n^3):  .18
2023-01-26 15:28:46 INFO  TimeLogger - Raw time per run (mSec):  .76
2023-01-26 15:28:46 INFO  TimeLogger - Normalized time per run (n^2):  3.04
2023-01-26 15:28:46 INFO  TimeLogger - Raw time per run (mSec):  1.89
2023-01-26 15:28:46 INFO  TimeLogger - Normalized time per run (n^2 log n):  .84
2023-01-26 15:28:47 INFO  TimeLogger - Raw time per run (mSec):  21.21
2023-01-26 15:28:47 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:28:53 INFO  TimeLogger - Raw time per run (mSec):  .42
2023-01-26 15:28:53 INFO  TimeLogger - Normalized time per run (n^2):  6.73
2023-01-26 15:28:53 INFO  TimeLogger - Raw time per run (mSec):  1.13
2023-01-26 15:28:53 INFO  TimeLogger - Normalized time per run (n^2 log n):  2.28
2023-01-26 15:28:54 INFO  TimeLogger - Raw time per run (mSec):  2.90
2023-01-26 15:28:54 INFO  TimeLogger - Normalized time per run (n^3):  .19
2023-01-26 15:28:54 INFO  TimeLogger - Raw time per run (mSec):  .76
2023-01-26 15:28:54 INFO  TimeLogger - Normalized time per run (n^2):  3.03
2023-01-26 15:28:54 INFO  TimeLogger - Raw time per run (mSec):  2.02
2023-01-26 15:28:54 INFO  TimeLogger - Normalized time per run (n^2 log n):  .90
2023-01-26 15:28:55 INFO  TimeLogger - Raw time per run (mSec):  21.40
2023-01-26 15:28:55 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:30:25 INFO  TimeLogger - Raw time per run (mSec):  3.77
2023-01-26 15:30:25 INFO  TimeLogger - Normalized time per run (n^2):  60.31
2023-01-26 15:30:26 INFO  TimeLogger - Raw time per run (mSec):  3.10
2023-01-26 15:30:26 INFO  TimeLogger - Normalized time per run (n^2 log n):  6.22
2023-01-26 15:30:26 INFO  TimeLogger - Raw time per run (mSec):  10.54
2023-01-26 15:30:26 INFO  TimeLogger - Normalized time per run (n^3):  .67
2023-01-26 15:30:26 INFO  TimeLogger - Raw time per run (mSec):  1.02
2023-01-26 15:30:26 INFO  TimeLogger - Normalized time per run (n^2):  4.08
2023-01-26 15:30:26 INFO  TimeLogger - Raw time per run (mSec):  2.03
2023-01-26 15:30:26 INFO  TimeLogger - Normalized time per run (n^2 log n):  .90
2023-01-26 15:30:27 INFO  TimeLogger - Raw time per run (mSec):  21.43
2023-01-26 15:30:27 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:30:27 INFO  TimeLogger - Raw time per run (mSec):  3.23
2023-01-26 15:30:27 INFO  TimeLogger - Normalized time per run (n^2):  3.23
2023-01-26 15:30:27 INFO  TimeLogger - Raw time per run (mSec):  10.57
2023-01-26 15:30:27 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.06
2023-01-26 15:30:31 INFO  TimeLogger - Raw time per run (mSec):  164.96
2023-01-26 15:30:31 INFO  TimeLogger - Normalized time per run (n^3):  .16
2023-01-26 15:30:31 INFO  TimeLogger - Raw time per run (mSec):  12.05
2023-01-26 15:30:31 INFO  TimeLogger - Normalized time per run (n^2):  3.01
2023-01-26 15:30:32 INFO  TimeLogger - Raw time per run (mSec):  58.13
2023-01-26 15:30:32 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.33
2023-01-26 15:30:45 INFO  TimeLogger - Raw time per run (mSec):  1312.89
2023-01-26 15:30:45 INFO  TimeLogger - Normalized time per run (n^3):  .16
2023-01-26 15:30:45 INFO  TimeLogger - Raw time per run (mSec):  79.99
2023-01-26 15:30:45 INFO  TimeLogger - Normalized time per run (n^2):  5.00
2023-01-26 15:30:47 INFO  TimeLogger - Raw time per run (mSec):  281.44
2023-01-26 15:30:47 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.47
2023-01-26 15:30:48 INFO  TimeLogger - Raw time per run (mSec):  410.66
2023-01-26 15:30:48 INFO  TimeLogger - Normalized time per run (n^2):  6.42
2023-01-26 15:30:52 INFO  TimeLogger - Raw time per run (mSec):  1384.74
2023-01-26 15:30:52 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.67
2023-01-26 15:30:56 INFO  TimeLogger - Raw time per run (mSec):  1936.50
2023-01-26 15:30:56 INFO  TimeLogger - Normalized time per run (n^2):  7.56
2023-01-26 15:31:08 INFO  TimeLogger - Raw time per run (mSec):  6010.28
2023-01-26 15:31:08 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.68
2023-01-26 15:34:45 INFO  TimeLogger - Raw time per run (mSec):  2.88
2023-01-26 15:34:45 INFO  TimeLogger - Normalized time per run (n^2):  46.03
2023-01-26 15:34:45 INFO  TimeLogger - Raw time per run (mSec):  3.30
2023-01-26 15:34:45 INFO  TimeLogger - Normalized time per run (n^2 log n):  6.62
2023-01-26 15:34:46 INFO  TimeLogger - Raw time per run (mSec):  10.31
2023-01-26 15:34:46 INFO  TimeLogger - Normalized time per run (n^3):  .66
2023-01-26 15:34:46 INFO  TimeLogger - Raw time per run (mSec):  1.12
2023-01-26 15:34:46 INFO  TimeLogger - Normalized time per run (n^2):  4.47
2023-01-26 15:34:46 INFO  TimeLogger - Raw time per run (mSec):  2.05
2023-01-26 15:34:46 INFO  TimeLogger - Normalized time per run (n^2 log n):  .92
2023-01-26 15:34:47 INFO  TimeLogger - Raw time per run (mSec):  20.88
2023-01-26 15:34:47 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:34:47 INFO  TimeLogger - Raw time per run (mSec):  3.05
2023-01-26 15:34:47 INFO  TimeLogger - Normalized time per run (n^2):  3.05
2023-01-26 15:34:47 INFO  TimeLogger - Raw time per run (mSec):  10.62
2023-01-26 15:34:47 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.07
2023-01-26 15:34:51 INFO  TimeLogger - Raw time per run (mSec):  163.56
2023-01-26 15:34:51 INFO  TimeLogger - Normalized time per run (n^3):  .16
2023-01-26 15:34:51 INFO  TimeLogger - Raw time per run (mSec):  13.35
2023-01-26 15:34:51 INFO  TimeLogger - Normalized time per run (n^2):  3.34
2023-01-26 15:34:51 INFO  TimeLogger - Raw time per run (mSec):  56.90
2023-01-26 15:34:51 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.30
2023-01-26 15:35:05 INFO  TimeLogger - Raw time per run (mSec):  1324.57
2023-01-26 15:35:05 INFO  TimeLogger - Normalized time per run (n^3):  .17
2023-01-26 15:35:05 INFO  TimeLogger - Raw time per run (mSec):  74.86
2023-01-26 15:35:05 INFO  TimeLogger - Normalized time per run (n^2):  4.68
2023-01-26 15:35:07 INFO  TimeLogger - Raw time per run (mSec):  316.05
2023-01-26 15:35:07 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.65
2023-01-26 15:35:08 INFO  TimeLogger - Raw time per run (mSec):  423.68
2023-01-26 15:35:08 INFO  TimeLogger - Normalized time per run (n^2):  6.62
2023-01-26 15:35:12 INFO  TimeLogger - Raw time per run (mSec):  1489.10
2023-01-26 15:35:12 INFO  TimeLogger - Normalized time per run (n^2 log n):  1.79
2023-01-26 15:35:16 INFO  TimeLogger - Raw time per run (mSec):  2.34
2023-01-26 15:35:16 INFO  TimeLogger - Normalized time per run (n^2):  37.46
2023-01-26 15:35:16 INFO  TimeLogger - Raw time per run (mSec):  2.57
2023-01-26 15:35:16 INFO  TimeLogger - Normalized time per run (n^2 log n):  5.17
2023-01-26 15:35:17 INFO  TimeLogger - Raw time per run (mSec):  10.65
2023-01-26 15:35:17 INFO  TimeLogger - Normalized time per run (n^3):  .68
2023-01-26 15:35:17 INFO  TimeLogger - Raw time per run (mSec):  .98
2023-01-26 15:35:17 INFO  TimeLogger - Normalized time per run (n^2):  3.91
2023-01-26 15:35:17 INFO  TimeLogger - Raw time per run (mSec):  2.07
2023-01-26 15:35:17 INFO  TimeLogger - Normalized time per run (n^2 log n):  .92
2023-01-26 15:35:18 INFO  TimeLogger - Raw time per run (mSec):  21.44
